lat,lng
-899089.2295728351,-3882486.0842297557
-900316.6185876131,-3883668.0301193264
-898557.2661155276,-3882157.709913227
-907047.3944938639,-3884516.160920324
-899647.4727967298,-3885074.607790339
-897524.4639061583,-3889682.253135224
-896394.9418212596,-3882688.932906209
-906922.2304615859,-3887438.679341203
-899739.9234362453,-3883037.0731657976
-905520.7540763142,-3883662.6312264972
-898515.9280918124,-3882181.9528674344
-899725.4519692058,-3883024.371631843
-900311.9887122106,-3881856.1352163157
-899719.314737028,-3884841.838957908
-898486.7283034654,-3884115.732647121
-900684.8576327148,-3883856.6410657438
-899258.3136087195,-3882649.606367546
-907467.3763761739,-3884698.459119195
-899417.1267000771,-3881974.3730101944
-900657.0097445225,-3881916.110647205
-898680.1057307369,-3884103.009153877
-900000.5776729741,-3884469.704908494
-904566.8704967265,-3883231.4537603264
-898052.9629539334,-3884918.2544695907
-905370.5716426017,-3887179.4209682895
-897265.6282870114,-3889731.7160910987
-897411.4353299468,-3889694.327522074
-898447.8696545457,-3885020.0383223416
-899758.6657331636,-3884846.068677375
-907201.4374162784,-3884595.302993967
-895553.7237195323,-3882724.479580558
-898498.6660662156,-3884324.881949106
-898776.7483150484,-3883355.9081333117
-897697.5971625759,-3885055.959297744
-900006.9309777822,-3884832.347433824
-898761.3030377975,-3883380.6920325616
-905530.8461650164,-3887852.0194271887
-896895.5750441339,-3886583.5934430086
-899604.7506006035,-3884746.6600868045
-900062.5617174163,-3885058.3554260316
-897059.0233570348,-3883617.1074908157
-904493.4091762844,-3883178.3914462826
-900129.5947426796,-3883940.3962031943
-899455.5969529257,-3883833.1665424206
-906847.7915180391,-3884415.336560732
-905027.6930373097,-3883446.856964736
-897521.5708146393,-3889679.9320602063
-899117.6147281859,-3882427.9201417235
-906732.7214129738,-3884336.299712402
-903931.209064729,-3883019.204611489
-898851.3754781957,-3884804.8035690174
-900263.0465286479,-3884298.777889607
-899512.8596461187,-3881993.0460622245
-899207.5340919984,-3882301.3077781904
-899256.7223958019,-3883758.541075311
-898210.5755834981,-3882494.5951345647
-897592.7256312326,-3889681.6798406737
-905501.8262210774,-3883673.9487538044
-899420.14270103,-3883150.4008431938
-898746.9982548956,-3882548.5368487965
-899636.792506284,-3885075.3864712403
-897972.30087393,-3883273.111125071
-900277.0327126666,-3884556.1742988955
-896396.3407629286,-3882706.304077541
-898924.9127114209,-3884939.5771313747
-906653.0720142036,-3884283.608473778
-900052.4435007016,-3885058.466202963
-898684.0566483055,-3884385.4081725506
-897977.3759784902,-3885126.5968646626
-900152.2156325848,-3881770.374183367
-899046.5823657924,-3884379.4017553474
-899923.6126470304,-3884825.9043084695
-901220.3089083345,-3884808.852106534
-906227.2781177766,-3884022.9353604126
-900030.558083595,-3881958.9713381818
-898105.242911,-3883908.2382705766
-899640.2775437215,-3884771.151192553
-907477.309274636,-3884700.3144111647
-899202.7304052421,-3883784.547181335
-899456.541768329,-3883191.96795577
-904992.2738457574,-3883421.067896052
-907778.0891204921,-3884804.5360049997
-899807.346979485,-3885147.855648501
-899485.0259798116,-3883843.3993077357
-899463.6928217246,-3885147.9159089797
-899274.9537162515,-3883553.642695164
-905381.5488049687,-3887455.6248651994
-898420.500743667,-3886874.6566461073
-899219.7296885843,-3884499.5352379885
-897142.3594525851,-3883685.978640612
-906436.9173927555,-3889585.092177468
-906273.1931882569,-3884041.488585788
-900339.8171569468,-3884622.428610281
-905420.8670769534,-3883626.2669073506
-898442.1416321509,-3882312.884990736
-899735.1680870233,-3884805.1030318975
-897904.1887624307,-3885417.141047862
-899370.361569725,-3883145.12424669
-897696.9463419329,-3885195.2978521553
-904558.0625660607,-3883260.76788301
-899248.4804946671,-3882559.8721521343
-898576.5153905598,-3884024.4076821273
-900392.7302835677,-3882092.863131601
-898116.3682516316,-3881984.2447209284
-899041.5005425166,-3882980.615031817
-905543.805004009,-3883653.911210316
-898752.9874725163,-3883034.640425588
-898174.9758971531,-3884908.7192849466
-900215.5549628255,-3883456.026517788
-897699.9671490336,-3885201.3701082706
-899137.7047555572,-3882413.9402074767
-906508.9580049181,-3888542.6967379167
-899095.3419350641,-3885016.966491598
-898640.7755149904,-3883204.7646597857
-898694.5377842212,-3882182.8614746183
-899975.4735874599,-3883876.3235423947
-905091.5977076818,-3883480.9949181015
-900664.3965685396,-3883848.0924103796
-898955.9521694122,-3884314.4651682354
-897988.2909674193,-3883307.1366213406
-899282.9671820211,-3884378.4548547408
-898470.1379060277,-3883041.886420058
-897859.4527539407,-3885220.2806568993
-899685.6123003385,-3882016.297543041
-898986.7634529596,-3882132.597529118
-900074.6470301196,-3883328.4506964525
-904428.0062028005,-3883189.8944997434
-905438.2207595336,-3887787.892805175
-906009.5101557529,-3883896.7732399027
-906893.519819997,-3884437.7859791084
-897864.9254394949,-3883254.035204481
-899212.2497078743,-3883047.4635181497
-893828.5698289943,-3884447.452181595
-897883.4256938634,-3883296.9173586243
-905539.6621305409,-3887773.859677938
-899707.1589411256,-3881998.8046210795
-899806.7650599194,-3882810.6729296306
-906897.3134902972,-3884443.054912218
-899586.0872069271,-3885096.760224993
-905030.8789738988,-3883441.1054701777
-898066.0769138458,-3884939.5192266414
-899212.0111637999,-3885063.9536245163
-899177.3992531324,-3882596.925561777
-898942.0872744239,-3884041.2137702187
-898742.2866526757,-3884158.293249736
-899859.7369652627,-3884183.0378528466
-905921.0539292217,-3883853.358676732
-907121.2624953594,-3884555.0460301987
-898972.9394064603,-3885109.2987057776
-899134.0383669757,-3882842.597013106
-899476.9061536068,-3885147.976943226
-898246.9994618493,-3883986.86603998
-899628.4647165823,-3882041.6866372568
-898561.6658073404,-3884190.2428493504
-899247.5839674439,-3883756.4795249864
-898214.2710906605,-3883014.630532769
-899666.3608219484,-3885064.9225174272
-898614.8213288923,-3882960.2279469976
-899181.722119492,-3882344.6115393364
-899819.0393179693,-3885150.1937728277
-899310.171053877,-3884462.2204182507
-898957.1104698245,-3882170.8336245418
-899673.5351945797,-3882014.9580287514
-899147.2847787733,-3882828.6918558506
-903842.7568959184,-3883041.468514436
-897067.4008053147,-3883627.310305257
-905666.6646382472,-3889007.777737515
-905874.6641133756,-3888028.188847887
-898670.7116257983,-3883188.2714247396
-898253.6563074124,-3883312.6848414224
-900237.4613185653,-3883246.5044014496
-899454.3211966797,-3885169.006897531
-900071.4571121025,-3885061.379700336
-900383.65754218,-3882101.658410862
-898478.0637132009,-3884126.011736695
-899148.8166364784,-3884448.7209512494
-907204.7910117299,-3887040.250107428
-894023.76547486,-3883784.641413032
-905449.53685469,-3887027.1228793478
-898673.0223156427,-3884099.8383274907
-903778.4791905251,-3883036.0879822057
-898555.711643867,-3882158.889304033
-905311.6100811182,-3883580.2548193256
-899801.1324967062,-3883407.6179627464
-899486.4760645094,-3885273.2011512904
-898767.0592892271,-3883372.707799597
-906287.9447423872,-3888601.391953424
-897753.1652433184,-3884473.604351166
-899647.2484014583,-3885014.383369005
-900062.5616561866,-3885050.1176897176
-905982.3360717132,-3883872.6539986194
-900108.982881827,-3883937.282125316
-907842.0175781484,-3884821.0961021027
-899704.6732417735,-3882021.6066929456
-899018.5710326252,-3883137.361983385
-900034.4488218253,-3881940.012287183
-904449.9321288961,-3883173.382043854
-907114.4571374821,-3887483.740766216
-898368.99862599,-3884714.733916583
-898305.3410085427,-3884172.8895275085
-899468.5571998789,-3881944.3681358844
-900476.3352941967,-3882088.7810329082
-898291.6688573201,-3885167.7491148035
-906329.603206838,-3884064.1235557147
-907506.7721692286,-3888811.2233551247
-899473.1073669585,-3881997.8938624337
-900897.6152657514,-3884270.0219309865
-899662.2712939109,-3883323.1704262327
-906223.8959372592,-3889976.2488438645
-905188.8331268844,-3887971.3931767163
-898855.6155137782,-3884767.4624082535
-900877.7739735483,-3882088.6258573383
-899762.5739401638,-3883393.304401002
-899672.9102709708,-3882050.8363241167
-899182.5022995684,-3883249.8141113482
-898072.7554880477,-3883915.7355372272
-906665.066268111,-3884299.564232348
-899317.8822381544,-3884471.280751145
-900422.0200070493,-3883852.1544864704
-898923.6291487163,-3883913.525247496
-899534.5089755391,-3883694.180692226
-899721.0550925597,-3883359.7915823413
-903755.3779879456,-3883022.7646153835
-899536.7312092439,-3885394.985426449
-899943.1819123218,-3884792.798538494
-900233.4236724732,-3883802.1196603687
-898075.9500276977,-3882593.946515395
-898567.9683611179,-3887360.769039794
-898941.707741713,-3883059.7573713833
-900089.2286979045,-3881945.3171611154
-907630.2935384427,-3888892.425717544
-898850.3688305541,-3882643.5446375785
-899621.8545382534,-3886729.659451926
-895793.321315237,-3882176.7771000047
-900576.850881521,-3881931.629249504
-905762.9306852064,-3889763.5143934223
-899582.1564932138,-3883283.4223810607
-897479.5091260723,-3882978.8871870297
-894091.93360401,-3883667.946478855
-899588.560675523,-3885335.6522145076
-899925.6218844736,-3884830.96244035
-899155.1154383692,-3883531.8884804286
-898750.2613168326,-3882722.229964212
-898059.7969861653,-3883929.1713364953
-899628.252266729,-3882850.427306398
